Friday,21,March,2025,15:18:41:10918-VCID:2F3CCDF65B1FE61226D-807B,VCDS Version: Release 25.3.0 (arm64),Data version: 20250311 DS365.0,,,,,,,,,
,616.21,1748,0,368,72.9,616.33,1748,1004.3,1185.8,98.8,616.07,1748,0,0,0
,616.58,1748,0,368,72.9,616.72,1748,1004.3,1173.7,98.8,616.45,1748,0,0,0
,616.99,1725,0,368,72.9,617.11,1725,1004.3,1173.7,98.8,616.85,1725,0,0,0
,617.37,1725,0,360,72.9,617.5,1725,1004.3,1173.7,98.8,617.24,1725,0,0,0
,617.77,1702,0,328,72.9,617.91,1702,1004.3,1173.7,98.8,617.64,1702,0,0,0
,618.18,1702,0,352,72.9,618.31,1702,1004.3,1173.7,98.8,618.05,1702,0,0,0
,618.58,1702,0,376,72.9,618.71,1679,1016.4,1161.6,97.6,618.44,1702,0,0,0
,618.97,1679,3.3,448,72.9,619.1,1679,1052.7,1173.7,91.8,618.83,1702,12,0.21,15
,619.35,1725,8.2,816,72.9,619.49,1702,1101.1,1197.9,80.4,619.22,1702,42,1.47,51
,619.75,1725,9.6,832,72.9,619.9,1725,1113.2,1210,76.9,619.63,1702,63,2.31,66
,620.16,1725,9.9,832,72.9,620.28,1725,1125.3,1210,76.9,620.02,1725,63,2.31,63
,620.55,1748,14,1088,72.9,620.67,1771,1234.2,1210,80.8,620.43,1748,78,2.94,84
,620.93,1771,17.8,1312,72.9,621.07,1771,1294.7,1246.3,79.6,620.8,1771,108,4.2,114
,621.32,1817,22.5,1288,72.9,621.45,1840,1548.8,1306.8,91,621.19,1817,129,4.83,144
,621.72,1863,29.9,1768,72.9,621.85,1909,1681.9,1439.9,89.4,621.58,1863,180,7.35,186
,622.1,1932,25.8,1696,72.9,622.22,1955,1415.7,1560.9,54.9,621.97,1909,180,7.56,186
,622.47,1955,19.2,1352,72.9,622.61,1978,1270.5,1452,56.1,622.35,1955,138,5.88,126
,622.87,2001,14.5,1080,72.9,622.99,2024,1210,1318.9,63.9,622.74,2001,102,4.41,96
,623.25,2024,13.5,1048,72.9,623.39,2047,1270.5,1234.2,73.7,623.12,2024,84,3.57,78
,623.66,2047,12.6,1024,72.9,623.8,2047,1210,1234.2,71,623.52,2024,87,3.78,87
,624.05,2070,11.8,976,72.9,624.19,2070,1210,1222.1,72.2,623.92,2070,75,3.36,75
,624.46,2093,11.8,976,72.9,624.6,2093,1222.1,1222.1,72.9,624.34,2093,75,3.36,75
,624.85,2093,13.2,1032,72.9,624.99,2116,1246.3,1222.1,73.3,624.72,2093,81,3.57,84
,625.27,2116,12.4,1000,72.9,625.41,2116,1210,1246.3,70.6,625.13,2093,81,3.78,84
,625.66,2116,11,944,72.9,625.8,2139,1197.9,1246.3,69.8,625.54,2116,72,3.36,69
,626.07,2139,10.2,912,72.9,626.19,2139,1185.8,1234.2,69,625.93,2139,69,3.15,69
,626.44,2139,8.8,840,72.9,626.58,2139,1149.5,1222.1,67.1,626.32,2139,60,2.73,57
,626.86,2116,6.6,712,72.9,627,2116,1101.1,1210,88.6,626.72,2116,48,2.31,42
,627.27,2116,4.1,616,72.9,627.41,2116,1101.1,1246.3,88.6,627.13,2093,30,1.47,27
,627.68,2093,4.9,640,72.9,627.81,2093,1113.2,1258.4,88.2,627.55,2093,30,1.26,27
,628.09,2070,4.9,640,72.9,628.22,2070,1089,1270.5,89.8,627.96,2093,30,1.47,30
,628.52,2047,1.1,456,72.9,628.66,2024,1028.5,1246.3,98,628.37,2047,12,0.84,18
,628.93,2024,0.3,408,72.9,629.05,2001,1028.5,1246.3,98,628.8,2024,0,0,0
,629.32,1978,0,384,72.9,629.46,1955,1028.5,1234.2,97.3,629.17,2001,0,0,0
,629.71,1932,2.2,464,72.9,629.85,1932,1064.8,1234.2,91,629.58,1955,6,0.21,3
,630.1,1886,4.4,584,72.9,630.22,1909,1076.9,1246.3,89,629.97,1909,24,1.05,24
,630.51,1955,8.8,896,72.9,630.63,1886,1185.8,1270.5,76.9,630.38,1909,39,1.68,42
,630.88,1909,14.8,1184,72.9,631.02,1909,1234.2,1282.6,75.3,630.75,1909,84,3.36,90
,631.27,1909,11.5,904,72.9,631.41,1909,1161.6,1294.7,70.2,631.14,1909,84,3.57,84
,631.69,1955,13.7,1032,72.9,631.82,1955,1234.2,1258.4,75.3,631.55,1932,78,3.15,81
,632.08,1955,14.5,1048,72.9,632.21,1978,1234.2,1270.5,73.7,631.96,1955,93,3.99,96
,632.45,1978,14.8,1064,72.9,632.6,2001,1246.3,1282.6,72.5,632.33,1978,93,3.99,93
,632.85,2001,15.4,1104,72.9,632.99,2001,1258.4,1294.7,71,632.72,2001,96,4.2,96
,633.26,2001,9.3,864,72.9,633.38,1978,1125.3,1270.5,65.1,633.13,1978,72,3.15,60
,633.63,1978,8.5,784,72.9,633.76,1978,1137.4,1210,69.8,633.51,1978,54,2.31,51
,634.03,1978,12.4,1016,72.9,634.16,1978,1270.5,1185.8,78.4,633.91,1978,66,2.73,72
,634.41,2001,17.6,1336,72.9,634.54,1978,1355.2,1234.2,76.5,634.28,1978,102,4.41,105
,634.8,2001,19.8,1408,72.9,634.93,2001,1379.4,1294.7,73.7,634.66,2001,123,5.25,126
,635.17,2001,20,1408,72.9,635.32,2024,1367.3,1343.1,68.2,635.05,2001,129,5.67,129
,635.57,2024,20,1408,72.9,635.69,2024,1367.3,1367.3,65.5,635.44,2024,129,5.67,129
,635.97,2047,20,1392,72.9,636.1,2047,1367.3,1379.4,63.5,635.83,2047,129,5.67,129
,636.37,2070,17.6,1216,72.9,636.49,2070,1294.7,1367.3,62.7,636.22,2047,120,5.46,114
,636.75,2070,15.6,1120,72.9,636.89,2093,1282.6,1331,65.5,636.63,2070,102,4.62,99
,637.16,2093,15.4,1128,72.9,637.28,2093,1282.6,1294.7,67.8,637.04,2093,99,4.41,96
,637.54,2093,16.2,1184,72.9,637.66,2093,1331,1282.6,70.6,637.41,2093,96,4.41,99
,637.93,2093,19.2,1432,72.9,638.07,2116,1391.5,1306.8,71,637.78,2093,117,5.25,120
,638.32,2116,20,1448,72.9,638.45,2139,1391.5,1343.1,67.5,638.19,2116,129,5.88,129
,638.71,2139,17.8,1320,72.9,638.85,2139,1294.7,1367.3,63.1,638.59,2139,123,5.88,120
,639.1,2162,14.8,1056,72,639.24,2162,1270.5,1343.1,65.1,638.97,2162,96,4.62,93
,639.49,2162,13.5,1024,72,639.63,2162,1258.4,1318.9,65.9,639.37,2162,87,4.2,87
,639.89,2162,12.9,1024,72.9,640.02,2162,1234.2,1294.7,67.1,639.75,2162,84,3.99,84
,640.27,2185,11.3,960,72,640.41,2162,1222.1,1270.5,67.8,640.15,2162,75,3.57,72
,640.66,2185,11,968,72.9,640.78,2185,1222.1,1258.4,69,640.53,2162,72,3.36,72
,641.04,2185,11.8,984,72,641.17,2185,1246.3,1246.3,70.6,640.91,2185,72,3.36,72
,641.46,2162,12.9,1032,72,641.6,2185,1258.4,1246.3,70.2,641.31,2162,81,3.78,81
,641.86,2185,14.5,1136,72,642.01,2185,1331,1270.5,70.2,641.74,2185,87,4.2,90
,642.25,2208,17,1320,72,642.38,2208,1343.1,1294.7,67.1,642.13,2185,105,5.04,108
,642.64,2208,16.7,1240,72,642.78,2208,1306.8,1331,65.1,642.52,2208,105,5.04,105
,643.03,2231,15.1,1104,72,643.17,2231,1294.7,1331,64.7,642.91,2231,96,4.83,93
,643.44,2231,14.3,1072,72,643.58,2231,1282.6,1318.9,65.1,643.32,2231,90,4.41,90
,643.83,2231,12.9,1024,72,643.97,2254,1258.4,1306.8,64.3,643.7,2231,84,4.2,81
,644.25,2254,12.6,1016,72,644.4,2254,1270.5,1294.7,66.3,644.11,2254,78,3.99,78
,644.66,2254,15.6,1264,72,644.79,2254,1355.2,1294.7,66.3,644.52,2254,90,4.41,93
,645.03,2277,17,1320,72,645.17,2277,1355.2,1331,63.5,644.91,2277,105,5.25,108
,645.43,2300,16.2,1240,72,645.56,2300,1294.7,1355.2,62,645.31,2277,108,5.46,108
,645.83,2300,13.5,1016,72,645.97,2300,1258.4,1343.1,61.6,645.69,2300,87,4.41,81
,646.25,2300,9.9,904,72,646.39,2300,1210,1282.6,63.5,646.11,2300,66,3.36,60
,646.65,2300,9.6,904,72,646.77,2300,1246.3,1246.3,69.4,646.5,2300,57,2.94,57
,647.02,2300,11,992,72,647.16,2300,1258.4,1246.3,69.4,646.89,2300,66,3.36,69
,647.43,2300,12.1,1032,72,647.56,2300,1294.7,1258.4,69.4,647.3,2300,72,3.78,75
,647.81,2300,14,1096,72,647.93,2323,1306.8,1282.6,67.8,647.68,2300,84,4.41,84
,648.2,2323,14.8,1144,72,648.32,2323,1331,1306.8,66.3,648.06,2323,90,4.62,90
,648.57,2323,14,1064,72,648.7,2323,1294.7,1318.9,64.3,648.45,2323,90,4.62,90
,648.95,2323,12.6,1016,72,649.08,2346,1282.6,1318.9,63.9,648.81,2323,81,4.2,78
,649.36,2323,12.1,1008,72,649.49,2346,1270.5,1294.7,64.7,649.22,2346,75,3.99,75
,649.74,2346,11.5,1000,72,649.86,2346,1246.3,1282.6,65.5,649.61,2346,72,3.78,72
,650.13,2346,11,960,72,650.27,2346,1343.1,1270.5,69,650.01,2346,69,3.57,66
,650.54,2346,17.6,1432,72,650.68,2346,1391.5,1306.8,62.7,650.4,2346,99,5.04,111
,650.93,2369,17.6,1368,72,651.07,2369,1391.5,1367.3,59.6,650.8,2369,111,5.88,114
,651.33,2392,18.1,1408,72,651.46,2392,1403.6,1391.5,57.3,651.19,2369,114,5.88,117
,651.71,2392,19.5,1504,72,651.85,2392,1439.9,1403.6,55.7,651.58,2392,123,6.3,123
,652.13,2415,20,1504,72,652.25,2415,1379.4,1427.8,54.5,651.99,2415,129,6.72,129
,652.52,2415,14,1032,72,652.66,2415,1282.6,1391.5,58.8,652.38,2415,99,5.25,93
,652.92,2415,11,928,72,653.05,2392,1258.4,1318.9,64.3,652.8,2415,72,3.78,66
,653.3,2392,10.4,928,72,653.44,2392,1258.4,1258.4,69,653.18,2415,63,3.36,63
,653.69,2392,10.4,952,72,653.81,2392,1258.4,1258.4,69.4,653.56,2392,63,3.36,63
,654.09,2369,10.2,952,72,654.22,2369,1258.4,1258.4,68.6,653.96,2392,63,3.36,63
,654.5,2369,10.4,952,72,654.64,2369,1258.4,1258.4,68.2,654.36,2369,63,3.36,63
,654.91,2346,13.2,1088,72,655.03,2346,1331,1270.5,68.6,654.77,2346,69,3.57,66
,655.29,2346,18.1,1488,72,655.41,2346,1439.9,1318.9,62.7,655.16,2346,99,5.04,102
,655.67,2346,19.8,1528,72,655.8,2346,1367.3,1391.5,56.9,655.55,2346,129,6.51,135
,656.05,2346,17.6,1272,72,656.19,2346,1415.7,1379.4,56.5,655.92,2346,108,5.46,102
,656.45,2323,14.8,1168,72,656.58,2346,1282.6,1367.3,58.8,656.32,2346,111,5.67,108
,656.82,2346,16.2,1280,72,656.95,2323,1367.3,1331,61.2,656.7,2346,93,4.83,99
,657.2,2346,14.5,1080,72,657.32,2346,1294.7,1318.9,63.1,657.07,2346,93,5.04,96
,657.6,2323,9.6,872,72,657.74,2323,1197.9,1270.5,63.1,657.46,2346,72,3.78,69
,658,2323,8.8,864,71.1,658.14,2323,1210,1222.1,68.2,657.88,2323,54,2.73,51
,658.39,2300,8.5,872,72,658.52,2300,1234.2,1197.9,72.2,658.27,2300,51,2.73,54
,658.8,2300,11.8,1024,71.1,658.93,2300,1282.6,1222.1,71,658.66,2300,66,3.36,69
,659.19,2300,12.4,1032,71.1,659.33,2300,1270.5,1270.5,66.7,659.05,2300,78,3.99,81
,659.57,2300,11.8,1024,71.1,659.71,2277,1246.3,1282.6,64.7,659.45,2300,75,3.78,75
,659.99,2277,11,968,71.1,660.11,2277,1222.1,1282.6,63.1,659.84,2277,72,3.57,72
,660.38,2277,8.8,872,71.1,660.52,2277,1197.9,1246.3,63.9,660.25,2277,60,2.94,57
,660.77,2254,8.8,880,71.1,660.91,2254,1197.9,1222.1,66.3,660.65,2254,54,2.73,54
,661.17,2254,11,1000,71.1,661.3,2254,1306.8,1210,71,661.05,2254,60,2.94,63
,661.57,2254,16.2,1344,71.1,661.7,2254,1367.3,1258.4,65.5,661.45,2254,96,4.83,105
,661.95,2254,18.4,1456,71.1,662.07,2254,1391.5,1306.8,61.2,661.82,2254,111,5.67,117
,662.33,2277,18.7,1448,71.1,662.46,2277,1391.5,1343.1,58,662.21,2277,120,5.88,123
,662.72,2300,16.2,1296,71.1,662.86,2300,1246.3,1367.3,56.1,662.6,2300,120,5.88,117
,663.11,2277,11.5,936,71.1,663.25,2300,1246.3,1306.8,61.2,662.99,2300,72,3.78,63
,663.52,2300,11.3,976,71.1,663.64,2277,1246.3,1258.4,65.1,663.38,2277,72,3.78,72
,663.91,2277,9.3,896,71.1,664.05,2277,1197.9,1234.2,64.7,663.77,2277,66,3.36,66
,664.3,2254,9.1,888,71.1,664.45,2254,1197.9,1197.9,68.6,664.18,2277,57,2.73,51
,664.7,2254,11,968,71.1,664.85,2254,1294.7,1197.9,72.2,664.57,2254,57,2.73,54
,665.1,2254,14.5,1168,71.1,665.24,2254,1343.1,1246.3,68.2,664.97,2254,84,4.2,90
,665.49,2254,16.5,1288,71.1,665.63,2254,1331,1294.7,64.3,665.36,2254,102,5.04,108
,665.89,2254,14,1040,71.1,666.01,2254,1282.6,1318.9,62.7,665.76,2254,93,4.83,99
,666.29,2254,15.6,1232,71.1,666.41,2254,1343.1,1318.9,62.7,666.14,2254,96,4.83,96
,666.69,2277,16.5,1240,71.1,666.83,2277,1331,1331,62,666.55,2277,102,5.04,102
,667.1,2277,16.5,1240,71.1,667.22,2277,1379.4,1331,61.6,666.97,2277,102,5.04,102
,667.49,2300,19.8,1536,71.1,667.61,2300,1476.2,1355.2,63.9,667.36,2277,120,5.88,120
,667.88,2323,23.6,1664,71.1,668,2346,1597.2,1427.8,64.3,667.74,2323,141,7.14,147
,668.29,2346,25.8,1728,71.1,668.41,2369,1706.1,1548.8,67.1,668.14,2346,162,8.19,165
,668.69,2392,30.5,1808,71.1,668.82,2415,1681.9,1681.9,49.8,668.55,2392,189,9.66,192
,669.08,2438,23.3,1544,71.1,669.21,2438,1403.6,1621.4,39.6,668.94,2415,168,8.82,156
,669.5,2461,15.1,1040,71.1,669.64,2461,1210,1391.5,53.3,669.35,2461,111,5.88,99
,669.92,2438,5.5,632,71.1,670.06,2392,1101.1,1318.9,94.1,669.78,2461,45,2.52,33
,670.3,2438,0.8,424,71.1,670.44,2415,1076.9,1331,96.5,670.17,2438,6,0.42,3
,670.71,2392,0,424,71.1,670.83,2392,1076.9,1343.1,96.5,670.57,2415,0,0,0
,671.08,2369,0,408,71.1,671.2,2369,1076.9,1343.1,96.9,670.96,2392,0,0,0
,671.48,2346,0,416,71.1,671.6,2346,1076.9,1343.1,95.7,671.35,2346,0,0,0
,671.88,2323,1.6,496,71.1,672,2300,1113.2,1355.2,91,671.74,2323,6,0.21,6
,672.27,2300,3.3,536,71.1,672.39,2300,1137.4,1355.2,88.2,672.14,2300,18,0.84,21
,672.64,2277,5.2,696,71.1,672.79,2277,1149.5,1379.4,87.5,672.52,2277,24,1.47,27
,673.03,2277,5.8,712,71.1,673.18,2254,1161.6,1379.4,87.1,672.91,2277,30,1.68,33
,673.43,2254,6.6,776,71.1,673.55,2254,1173.7,1391.5,87.1,673.3,2254,39,2.1,39
,673.83,2254,7.1,784,71.1,673.96,2254,1173.7,1415.7,87.1,673.69,2254,42,2.1,42
,674.21,2231,8,848,71.1,674.34,2231,1197.9,1415.7,65.5,674.08,2231,42,2.1,42
,674.62,2231,9.6,944,71.1,674.75,2231,1234.2,1343.1,69,674.5,2254,57,2.73,60
,675.02,2254,11.8,1016,71.1,675.16,2254,1270.5,1318.9,71.4,674.89,2254,69,3.36,75
,675.44,2254,13.2,1048,71.1,675.58,2254,1282.6,1331,69.8,675.3,2254,81,3.99,84
,675.83,2277,13.2,1048,70.2,675.97,2277,1282.6,1331,67.8,675.71,2254,84,4.2,84
,676.24,2277,13.2,1048,70.2,676.38,2277,1270.5,1343.1,66.7,676.1,2277,84,4.2,84
,676.64,2277,12.6,1040,71.1,676.77,2300,1270.5,1331,65.9,676.52,2277,78,3.99,78
,677.02,2300,12.6,1024,70.2,677.14,2300,1270.5,1331,65.5,676.89,2277,78,3.99,75
,677.42,2300,12.1,1008,71.1,677.57,2300,1270.5,1318.9,65.5,677.29,2300,75,3.99,75
,677.83,2300,11.8,1016,70.2,677.96,2300,1246.3,1306.8,64.7,677.69,2300,75,3.78,75
,678.24,2300,10.4,944,70.2,678.38,2300,1234.2,1294.7,65.5,678.1,2300,66,3.36,66
,678.65,2300,10.2,944,70.2,678.78,2300,1234.2,1270.5,66.7,678.51,2300,63,3.15,63
,679.03,2300,10.4,952,70.2,679.16,2300,1234.2,1270.5,66.7,678.91,2323,63,3.15,66
,679.42,2300,10.4,952,70.2,679.57,2323,1234.2,1258.4,66.7,679.3,2300,66,3.36,66
,679.82,2323,10.4,952,70.2,679.96,2300,1234.2,1258.4,66.3,679.69,2323,66,3.36,66
,680.23,2323,10.4,944,70.2,680.35,2323,1258.4,1258.4,67.5,680.09,2300,66,3.36,66
,680.6,2323,12.4,1040,70.2,680.72,2346,1306.8,1270.5,67.8,680.48,2323,72,3.78,75
,680.99,2323,14,1144,70.2,681.11,2323,1306.8,1294.7,65.1,680.85,2346,87,4.41,84
,681.38,2346,12.4,1024,70.2,681.52,2346,1234.2,1306.8,61.6,681.24,2346,84,4.41,81
,681.78,2346,9.1,872,70.2,681.92,2346,1210,1270.5,62.4,681.65,2346,60,3.15,57
,682.18,2346,7.7,824,70.2,682.31,2346,1149.5,1222.1,87.5,682.06,2346,51,2.73,48
,682.56,2093,0.8,504,70.2,682.67,1909,1016.4,1234.2,98.4,682.43,2231,6,0.42,0
,682.95,1610,7.7,552,70.2,683.09,1610,1089,1234.2,76.5,682.82,1633,36,1.05,39
,683.34,1610,10.4,744,70.2,683.46,1610,1113.2,1210,78,683.21,1610,63,2.1,66
,683.72,1633,12.1,760,70.2,683.86,1633,1173.7,1197.9,80,683.6,1610,72,2.52,72
,684.11,1633,17,1064,70.2,684.25,1633,1246.3,1222.1,82,683.99,1633,105,3.57,111
,684.53,1633,18.7,1120,70.2,684.66,1656,1222.1,1246.3,76.5,684.39,1633,120,4.2,123
,684.92,1656,14.5,912,70.2,685.05,1656,1137.4,1270.5,69.8,684.8,1656,102,3.78,96
,685.31,1656,10.2,712,70.2,685.45,1656,1089,1222.1,70.6,685.18,1656,72,2.52,72
,685.69,1656,9.1,704,70.2,685.83,1656,1076.9,1173.7,72.9,685.57,1656,60,2.1,57
,686.09,1656,9.1,712,70.2,686.22,1656,1089,1149.5,74.5,685.95,1656,57,2.1,57
,686.51,1679,8.8,712,70.2,686.64,1679,1089,1137.4,75.3,686.36,1656,57,2.1,57
,686.93,1679,9.3,736,70.2,687.05,1679,1089,1137.4,74.5,686.78,1679,60,2.1,60
,687.32,1679,15.9,1040,70.2,687.46,1679,1258.4,1137.4,81.2,687.19,1679,72,2.52,93
,687.72,1679,14,1024,70.2,687.85,1679,1125.3,1185.8,71,687.58,1702,114,4.2,117
,688.1,1702,8.8,688,70.2,688.24,1702,1076.9,1161.6,91.4,687.97,1702,63,2.31,63
,688.49,1702,8.5,696,70.2,688.62,1702,1089,1173.7,91.4,688.36,1702,51,1.89,48
,688.88,1702,8.5,712,70.2,689.02,1702,1089,1197.9,91,688.74,1702,54,1.89,54
,689.3,1702,11.3,832,70.2,689.43,1702,1149.5,1210,80.8,689.16,1702,63,2.31,60
,689.69,1702,12.6,888,70.2,689.81,1702,1137.4,1234.2,76.1,689.55,1702,84,2.94,84
,690.07,1702,9.9,752,70.2,690.21,1702,1089,1222.1,72.2,689.94,1702,66,2.52,66
,690.47,1725,8.5,704,70.2,690.61,1725,1089,1197.9,72.9,690.33,1725,54,1.89,51
,690.89,1725,8.2,704,70.2,691.02,1725,1076.9,1173.7,91,690.75,1725,51,1.89,51
,691.3,1725,8,704,70.2,691.43,1725,1064.8,1185.8,91,691.16,1725,48,1.89,48
,691.69,1725,6.9,648,70.2,691.82,1725,1064.8,1185.8,91,691.55,1725,42,1.68,42
,692.08,1725,6.9,656,70.2,692.22,1725,1052.7,1197.9,91.4,691.96,1725,42,1.47,42
,692.48,1702,5.2,576,70.2,692.63,1702,1040.6,1185.8,92.2,692.35,1702,33,1.26,33
,692.89,1702,4.9,584,70.2,693.01,1702,1040.6,1173.7,92.2,692.76,1702,33,1.26,30
,693.25,1702,4.9,592,70.2,693.38,1702,1040.6,1173.7,91.8,693.13,1702,30,1.05,30
,693.66,1702,4.7,616,70.2,693.8,1702,1028.5,1173.7,92.9,693.53,1702,30,1.05,30
,694.05,1702,4.1,552,70.2,694.18,1702,1028.5,1173.7,93.3,693.92,1702,24,0.84,24
,694.44,1702,3.6,528,70.2,694.58,1702,1028.5,1173.7,92.9,694.32,1702,24,0.84,24
,694.85,1702,4.1,536,70.2,694.99,1702,1040.6,1173.7,92.9,694.72,1702,24,0.84,24
,695.24,1702,6,584,70.2,695.38,1702,1052.7,1173.7,91.8,695.11,1679,30,1.05,33
,695.65,1679,6,592,70.2,695.77,1702,1052.7,1185.8,92.2,695.51,1702,42,1.47,39
,696.03,1679,6.3,576,70.2,696.15,1679,1052.7,1197.9,91.8,695.9,1679,39,1.47,39
,696.39,1679,6.3,664,70.2,696.52,1679,1052.7,1197.9,92.2,696.27,1679,39,1.47,39
,696.79,1679,6.3,592,70.2,696.91,1679,1052.7,1197.9,92.2,696.64,1679,39,1.47,39
,697.17,1679,6.3,576,70.2,697.3,1679,1052.7,1197.9,92.2,697.05,1679,39,1.47,39
,697.58,1679,6.3,632,70.2,697.7,1679,1064.8,1197.9,92.2,697.44,1679,39,1.47,39
,697.97,1679,7.7,696,70.2,698.11,1679,1076.9,1197.9,91.8,697.83,1679,42,1.47,42
,698.36,1679,9.6,768,70.2,698.5,1679,1173.7,1210,83.1,698.24,1679,54,1.89,54
,698.77,1679,19.2,1232,70.2,698.91,1702,1306.8,1246.3,86.3,698.63,1702,102,3.78,114
,699.19,1702,17.3,1192,70.2,699.32,1702,1222.1,1306.8,74.1,699.05,1702,120,4.41,126
,699.58,1702,17.6,1200,70.2,699.72,1725,1270.5,1306.8,75.7,699.44,1702,105,3.99,102
,699.99,1725,15.9,1168,70.2,700.13,1725,1125.3,1306.8,67.8,699.85,1725,123,4.41,123
,700.39,1725,10.2,760,70.2,700.52,1725,1101.1,1246.3,70.2,700.27,1725,66,2.31,63
,700.79,1725,9.6,768,70.2,700.92,1725,1113.2,1197.9,73.7,700.66,1725,63,2.31,60
,701.19,1725,10.2,800,70.2,701.33,1725,1113.2,1173.7,74.9,701.07,1725,69,2.52,66
,701.6,1725,9.3,752,70.2,701.74,1725,1076.9,1149.5,72.5,701.47,1725,63,2.31,66
,702,1702,8.2,696,70.2,702.13,1725,1076.9,1137.4,91,701.88,1725,54,1.89,51
,702.41,1702,8,688,70.2,702.55,1702,1076.9,1161.6,91,702.27,1725,51,1.89,48
,702.81,1702,7.4,680,69.3,702.94,1702,1089,1185.8,91,702.68,1702,48,1.68,48
,703.22,1702,8.2,712,69.3,703.35,1702,1101.1,1197.9,80,703.08,1702,54,1.89,51
,703.61,1702,9.9,760,70.2,703.75,1702,1113.2,1210,78.8,703.47,1702,60,2.1,60
,704.02,1702,11.5,808,70.2,704.16,1702,1149.5,1210,78,703.88,1702,69,2.52,69
,704.43,1702,14.5,976,69.3,704.56,1702,1234.2,1222.1,80.4,704.28,1702,87,3.15,87
,704.82,1702,19.2,1216,69.3,704.94,1702,1306.8,1258.4,81.2,704.69,1702,117,4.2,123
,705.19,1725,20.3,1256,69.3,705.33,1725,1306.8,1306.8,76.5,705.07,1702,132,4.83,132
,705.6,1725,21.1,1256,69.3,705.72,1725,1391.5,1343.1,82.7,705.46,1725,132,4.83,132
,705.99,1725,24.7,1432,69.3,706.13,1748,1452,1403.6,84.3,705.85,1725,156,5.67,156
,706.41,1748,23.9,1400,69.3,706.53,1771,1415.7,1464.1,74.1,706.27,1748,165,6.3,165
,706.8,1771,28.5,1600,69.3,706.93,1794,1512.5,1512.5,79.2,706.68,1771,183,6.93,180
,707.19,1794,24.4,1448,69.3,707.33,1794,1343.1,1524.6,55.7,707.05,1794,165,6.3,165
,707.6,1794,15.1,976,69.3,707.72,1817,1173.7,1379.4,60.4,707.46,1794,111,4.41,114
,707.99,1794,11,832,69.3,708.12,1794,1113.2,1246.3,64.7,707.85,1817,84,3.15,81
,708.37,1794,8.8,736,69.3,708.48,1794,1101.1,1173.7,69.4,708.25,1817,57,2.31,57
,708.74,1794,9.9,800,69.3,708.86,1794,1125.3,1137.4,74.1,708.61,1794,57,2.1,57
,709.13,1794,10.7,840,69.3,709.27,1794,1161.6,1137.4,76.9,708.99,1794,66,2.52,69
,709.55,1794,14.8,1064,69.3,709.69,1794,1222.1,1161.6,77.6,709.41,1794,93,3.57,96
,709.96,1817,17.6,1224,69.3,710.08,1794,1306.8,1197.9,79.2,709.83,1794,105,3.99,105
,710.33,1817,20,1312,69.3,710.47,1794,1306.8,1234.2,74.9,710.2,1794,129,5.04,132
,710.74,1817,13.2,936,69.3,710.86,1794,1149.5,1258.4,65.5,710.61,1817,102,3.99,93
,711.13,1817,11.8,848,69.3,711.26,1794,1149.5,1222.1,67.8,710.98,1817,78,2.94,75
,711.51,1794,11.3,856,69.3,711.64,1794,1137.4,1197.9,68.6,711.38,1794,75,2.73,75
,711.89,1794,11.3,824,69.3,712.03,1817,1173.7,1173.7,72.2,711.77,1794,66,2.52,72
,712.31,1794,12.6,928,69.3,712.44,1794,1149.5,1173.7,70.2,712.18,1794,84,3.15,87
,712.71,1794,12.4,880,69.3,712.85,1794,1185.8,1173.7,72.5,712.56,1794,78,2.94,78
,713.1,1794,15.4,1112,69.3,713.22,1794,1234.2,1185.8,73.7,712.97,1794,96,3.78,96
,713.47,1794,16.5,1112,69.3,713.61,1794,1234.2,1210,71.8,713.35,1794,105,3.99,105
,713.88,1794,16.2,1104,69.3,714,1794,1234.2,1222.1,70.6,713.76,1794,105,3.99,105
,714.25,1794,16.5,1104,69.3,714.37,1817,1234.2,1234.2,70.2,714.13,1794,105,3.99,102
,714.63,1817,16.2,1104,69.3,714.76,1817,1234.2,1234.2,69.8,714.5,1817,105,3.99,105
,715.03,1817,16.2,1104,69.3,715.17,1817,1234.2,1234.2,69.4,714.89,1817,105,3.99,105
,715.41,1817,15.9,1096,69.3,715.53,1817,1234.2,1234.2,69.4,715.29,1817,102,3.99,102
,715.8,1817,16.2,1120,69.3,715.93,1817,1246.3,1246.3,69.4,715.66,1817,105,4.2,105
,716.18,1817,17.3,1120,69.3,716.32,1840,1331,1246.3,74.5,716.06,1840,105,4.2,108
,716.6,1863,36.5,1720,69.3,716.73,1863,2347.4,1379.4,89,716.46,1863,198,7.77,201
,716.98,1886,45.3,1760,69.3,717.12,1909,2359.5,1718.2,83.5,716.85,1886,273,11.34,360
,717.41,1932,42.8,1760,69.3,717.55,1932,1923.9,2057,56.1,717.27,1909,312,13.23,327
,717.81,1955,36.2,1760,69.3,717.93,1955,1706.1,1911.8,44.3,717.68,1955,243,10.5,237
,718.2,1978,29.6,1736,69.3,718.32,2001,1681.9,1645.6,62.4,718.06,1978,198,8.61,192
,718.57,2024,30.7,1720,69.3,718.69,2024,1669.8,1560.9,67.8,718.45,2001,192,8.4,192
,718.94,2024,29.9,1736,69.3,719.08,2024,1790.8,1573,80,718.82,2001,195,8.4,195
,719.33,2047,39.5,1808,69.3,719.46,2070,2117.5,1718.2,87.8,719.21,2047,237,10.5,249
